City ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
1035,lebu,CL,-37.6167,-73.65,59.13,94,9,1.9,clear sky
1036,klaksvik,FO,62.2266,-6.589,43.72,86,100,18.72,overcast clouds
1037,mahibadhoo,MV,3.7833,72.9667,79.36,52,67,4.56,broken clouds
1038,ponta do sol,PT,32.6667,-17.1,58.01,78,79,3.98,broken clouds
1039,sakakah,SA,29.9697,40.2064,36.97,80,4,3.44,clear sky
1040,bereda,ES,43.2686,-7.5406,37.42,98,17,2.44,few clouds
1041,shambu,ET,9.5667,37.1,49.3,59,95,1.61,overcast clouds
1042,saint-pierre,RE,-21.3393,55.4781,73.08,78,100,4.61,overcast clouds
1043,sakakah,SA,29.9697,40.2064,36.97,80,4,3.44,clear sky
1044,sao jose da coroa grande,BR,-8.8978,-35.1478,77.74,83,72,4,broken clouds
1045,port alfred,ZA,-33.5906,26.891,69.64,88,69,14.99,broken clouds
1046,souillac,MU,-20.5167,57.5167,76.35,88,75,3.44,broken clouds
1047,mar del plata,AR,-38.0023,-57.5575,61.88,75,0,1.01,clear sky
1048,dikson,RU,73.5069,80.5464,4.89,93,100,23.82,overcast clouds
1049,tasiilaq,GL,65.6145,-37.6368,8.71,97,93,1.61,overcast clouds
1050,agadez,NE,19.75,10.25,50.38,25,22,9.31,few clouds
1051,east london,ZA,-33.0153,27.9116,71.91,89,77,14.05,light rain
1052,cayenne,GF,4.9333,-52.3333,71.64,94,0,0,clear sky
1053,kavaratti,IN,10.5669,72.642,79.34,72,55,9.57,broken clouds
1054,vardo,NO,70.3705,31.1107,26.8,94,100,7.38,light snow
1055,punta arenas,CL,-53.15,-70.9167,50.11,87,0,6.91,clear sky
1056,caravelas,BR,-17.7125,-39.2481,75.29,91,3,5.26,clear sky
1057,jalu,LY,29.0331,21.5482,50.14,73,78,4.18,broken clouds
1058,sorland,NO,67.667,12.6934,33.3,50,100,22.93,overcast clouds
1059,ushuaia,AR,-54.8,-68.3,49.66,81,75,4.61,broken clouds
1060,busselton,AU,-33.65,115.3333,80.04,30,0,5.53,clear sky
1061,puerto del rosario,ES,28.5004,-13.8627,60.55,72,0,12.66,clear sky
1062,lima,PE,-12.0432,-77.0282,68.25,78,40,14.97,scattered clouds
1063,muros,ES,42.7762,-9.0603,50.23,81,0,10.16,clear sky
1064,cayenne,GF,4.9333,-52.3333,71.64,94,0,0,clear sky
1065,qaanaaq,GL,77.484,-69.3632,-10.25,71,28,8.14,scattered clouds
1066,caucaia,BR,-3.7361,-38.6531,80.08,78,40,2.3,scattered clouds
1067,ushuaia,AR,-54.8,-68.3,49.66,81,75,4.61,broken clouds
1068,chuy,UY,-33.6971,-53.4616,66.18,70,98,6.42,overcast clouds
1069,ancud,CL,-41.8697,-73.8203,61.43,87,0,1.41,clear sky
1070,zharkent,KZ,44.1628,80,22.21,48,0,1.95,clear sky
1071,sibiti,CG,-3.6819,13.3499,66.2,97,70,0.63,broken clouds
1072,lipari,IT,38.4674,14.954,52.92,68,96,9.86,overcast clouds
1073,camacha,PT,33.0833,-16.3333,54.54,88,40,2.3,scattered clouds
1074,mahebourg,MU,-20.4081,57.7,77.25,88,75,3.44,broken clouds
1075,tasiilaq,GL,65.6145,-37.6368,8.71,97,93,1.61,overcast clouds
1076,dikson,RU,73.5069,80.5464,4.89,93,100,23.82,overcast clouds
1077,muli,MV,2.9167,73.5667,80.1,52,100,3.15,overcast clouds
1078,souillac,MU,-20.5167,57.5167,76.35,88,75,3.44,broken clouds
1079,victoria,HK,22.2855,114.1577,69.19,89,100,11.01,overcast clouds
1080,ushuaia,AR,-54.8,-68.3,49.66,81,75,4.61,broken clouds
1081,codrington,AU,-38.2667,141.9667,71.06,71,81,11.36,broken clouds
1082,ushuaia,AR,-54.8,-68.3,49.66,81,75,4.61,broken clouds
1083,ushuaia,AR,-54.8,-68.3,49.66,81,75,4.61,broken clouds
1084,ratnagiri,IN,16.9833,73.3,74.39,43,11,14.18,few clouds
1085,bielsko-biala,PL,49.8224,19.0469,37.74,96,100,16.8,light snow
1086,bredasdorp,ZA,-34.5322,20.0403,60.12,82,1,2.3,clear sky
1087,aripuana,BR,-9.1667,-60.6333,71.04,95,86,1.23,overcast clouds
1088,east london,ZA,-33.0153,27.9116,71.91,89,77,14.05,light rain
1089,tessalit,ML,20.1986,1.0114,58.71,23,90,12.55,overcast clouds
1090,punta arenas,CL,-53.15,-70.9167,50.11,87,0,6.91,clear sky
1091,altay,CN,47.8667,88.1167,0.54,70,7,6.98,clear sky
1092,port elizabeth,ZA,-33.918,25.5701,67.1,88,0,11.5,clear sky
1093,jamestown,US,42.097,-79.2353,26.19,63,100,7,overcast clouds
1094,sorland,NO,67.667,12.6934,33.3,50,100,22.93,overcast clouds
1095,corinto,GR,37.9407,22.9573,41.68,80,1,4.07,clear sky
1096,kano,NG,12.0001,8.5167,58.89,41,2,4.61,haze
1097,cidreira,BR,-30.1811,-50.2056,71.69,66,95,11.86,overcast clouds
1098,dikson,RU,73.5069,80.5464,4.89,93,100,23.82,overcast clouds
1099,beyneu,KZ,45.3167,55.2,30.97,90,100,5.48,overcast clouds
1100,ushuaia,AR,-54.8,-68.3,49.66,81,75,4.61,broken clouds
1101,caravelas,BR,-17.7125,-39.2481,75.29,91,3,5.26,clear sky
1102,menongue,AO,-14.6585,17.691,61.72,96,100,6.98,overcast clouds
1103,andros town,BS,24.7,-77.7667,71.56,77,82,6.69,broken clouds
1104,pangnirtung,CA,66.1451,-65.7125,-13.4,84,100,5.93,overcast clouds
1105,busselton,AU,-33.65,115.3333,80.04,30,0,5.53,clear sky
1106,halifax,CA,44.6453,-63.5724,20.21,81,85,1.01,overcast clouds
1107,tahta,EG,26.7693,31.5021,41.32,61,4,6.8,clear sky
1108,grindavik,IS,63.8424,-22.4338,41.47,93,100,29.93,overcast clouds
1109,pauini,BR,-7.7136,-66.9764,73.44,97,84,1.66,light rain
1110,clyde river,CA,70.4692,-68.5914,-10.97,77,75,13.8,broken clouds
1111,adrar,MR,20.5022,-10.0711,62.26,17,99,4.92,overcast clouds
1112,port blair,IN,11.6667,92.75,82.44,74,20,4.61,few clouds
1113,codrington,AU,-38.2667,141.9667,71.06,71,81,11.36,broken clouds
1114,namibe,AO,-15.1961,12.1522,73.44,86,100,6.26,overcast clouds
1115,kolosovka,RU,56.4678,73.611,2.68,97,92,6.73,overcast clouds
1116,chuy,UY,-33.6971,-53.4616,66.18,70,98,6.42,overcast clouds
1117,buta,CD,2.7858,24.73,66.4,53,84,0.87,broken clouds
1118,charleville,AU,-26.4,146.25,87.87,45,75,4.61,broken clouds
1119,narsaq,GL,60.9167,-46.05,12.42,85,13,6.46,few clouds
1120,longyearbyen,SJ,78.2186,15.6401,10.24,79,75,11.5,broken clouds
1121,port alfred,ZA,-33.5906,26.891,69.64,88,69,14.99,broken clouds
1122,beyneu,KZ,45.3167,55.2,30.97,90,100,5.48,overcast clouds
1123,taoudenni,ML,22.6783,-3.9836,65.64,19,94,12.64,overcast clouds
1124,busselton,AU,-33.65,115.3333,80.04,30,0,5.53,clear sky
1125,longyearbyen,SJ,78.2186,15.6401,10.24,79,75,11.5,broken clouds
1126,trinidad,BO,-14.8333,-64.9,76.41,88,88,2.51,overcast clouds
1127,ushuaia,AR,-54.8,-68.3,49.66,81,75,4.61,broken clouds
1128,laguna,US,38.421,-121.4238,56.34,67,0,0,clear sky
1129,jamestown,US,42.097,-79.2353,26.19,63,100,7,overcast clouds
1130,ponta do sol,PT,32.6667,-17.1,58.01,78,79,3.98,broken clouds
1131,arraial do cabo,BR,-22.9661,-42.0278,75.51,90,41,17.72,scattered clouds
1132,cape town,ZA,-33.9258,18.4232,65.08,76,20,8.05,few clouds
1133,tasiilaq,GL,65.6145,-37.6368,8.71,97,93,1.61,overcast clouds
1134,hermanus,ZA,-34.4187,19.2345,63.9,82,10,3.51,clear sky
1135,qaanaaq,GL,77.484,-69.3632,-10.25,71,28,8.14,scattered clouds
1136,codrington,AU,-38.2667,141.9667,71.06,71,81,11.36,broken clouds
1137,sao filipe,CV,14.8961,-24.4956,71.46,72,95,13.47,overcast clouds
1138,port alfred,ZA,-33.5906,26.891,69.64,88,69,14.99,broken clouds
1139,tasiilaq,GL,65.6145,-37.6368,8.71,97,93,1.61,overcast clouds
1140,ushuaia,AR,-54.8,-68.3,49.66,81,75,4.61,broken clouds
1141,umm kaddadah,SD,13.6017,26.6876,50.4,21,9,16.6,clear sky
1142,belyy yar,RU,53.6039,91.3903,-5.91,84,75,2.24,smoke
1143,kangaatsiaq,GL,68.3065,-53.4641,0.95,88,100,17.13,overcast clouds
1144,plettenberg bay,ZA,-34.0527,23.3716,63.73,85,27,6.73,scattered clouds
1145,nizhniy chir,RU,48.3597,43.0865,6.37,99,76,7.09,broken clouds
1146,jamestown,US,42.097,-79.2353,26.19,63,100,7,overcast clouds
1147,ushuaia,AR,-54.8,-68.3,49.66,81,75,4.61,broken clouds
1148,dikson,RU,73.5069,80.5464,4.89,93,100,23.82,overcast clouds
1149,verkhnyaya inta,RU,65.9811,60.3094,0.14,95,80,8.43,broken clouds
1150,tasiilaq,GL,65.6145,-37.6368,8.71,97,93,1.61,overcast clouds
1151,impfondo,CG,1.6381,18.0667,68.92,42,94,3.31,overcast clouds
1152,bilma,NE,18.6853,12.9164,53.98,24,5,8.08,clear sky
1153,cape town,ZA,-33.9258,18.4232,65.08,76,20,8.05,few clouds
1154,port alfred,ZA,-33.5906,26.891,69.64,88,69,14.99,broken clouds
1155,mitsamiouli,KM,-11.3847,43.2844,79.59,77,39,3.38,scattered clouds
1156,busselton,AU,-33.65,115.3333,80.04,30,0,5.53,clear sky
