City ID,City,Country,Max Temp,Lat,Lng,Current Description,Hotel Name
940,Hambantota,LK,73.74,6.1241,81.1185,clear sky,Bungalow 63
957,Kontagora,NG,69.26,10.3999,5.4695,clear sky,Queens Guest Inn
961,Pedernales,DO,74.93,18.0384,-71.744,clear sky,Hotel Costa Marina
966,Apomu,NG,68.88,7.3333,4.1833,scattered clouds,"Albirr Charity Foundation, Islamiyyah, Ikire"
968,Masvingo,ZW,65.21,-20.0637,30.8277,overcast clouds,River Side Lodge
987,Diego de almagro,CL,63.46,-26.3667,-70.05,clear sky,hotel luna del desierto
991,San pedro de macoris,DO,73.53,18.4616,-69.2972,clear sky,Apartahotel Guaraguao
992,Ciudad bolivar,VE,77.36,8.1222,-63.5497,few clouds,Hotel Edi
1008,Tumaco,CO,76.93,1.7986,-78.8156,overcast clouds,Dafneruben
1011,Nisia floresta,BR,79.18,-6.0911,-35.2086,overcast clouds,Rancho Crepusculo
1023,Loiza,PR,77.0,18.4313,-65.8802,few clouds,Malibu Beachfront
1028,Road town,VG,75.99,18.4167,-64.6167,scattered clouds,"ZINGARA 76ft Catamaran, full crew-all included"
1032,Ondjiva,AO,70.79,-17.0667,15.7333,overcast clouds,COMBUESA
1037,Mahibadhoo,MV,79.36,3.7833,72.9667,broken clouds,Omadhoo Inn
1061,Puerto del rosario,ES,60.55,28.5004,-13.8627,clear sky,Hotel JM Puerto del Rosario
1071,Sibiti,CG,66.2,-3.6819,13.3499,broken clouds,"LE PAPYRUS (hôtel, bar et restaurant)"
1077,Muli,MV,80.1,2.9167,73.5667,overcast clouds,Medhufushi Island Resort
1084,Ratnagiri,IN,74.39,16.9833,73.3,few clouds,Hotel Landmark
1102,Menongue,AO,61.72,-14.6585,17.691,overcast clouds,Ritz Lauca
1103,Andros town,BS,71.56,24.7,-77.7667,broken clouds,Hanks place
1109,Pauini,BR,73.44,-7.7136,-66.9764,light rain,Casa do Kiwliks
1117,Buta,CD,66.4,2.7858,24.73,broken clouds,HOTEL BISO NA BISO
1118,Charleville,AU,87.87,-26.4,146.25,broken clouds,Cosmos Country Motor Inn
1126,Trinidad,BO,76.41,-14.8333,-64.9,overcast clouds,Hotel Piesta
1144,Plettenberg bay,ZA,63.73,-34.0527,23.3716,scattered clouds,Thanda Vista B&B
1151,Impfondo,CG,68.92,1.6381,18.0667,overcast clouds,Auberge La Place de Jules
1155,Mitsamiouli,KM,79.59,-11.3847,43.2844,scattered clouds,Foyer ADM
1159,Toamasina,MG,71.6,-18.1667,49.3833,broken clouds,Hotel H1
1170,Luena,AO,62.62,-11.7833,19.9167,light rain,Hotel Kandamba
1187,Buenos aires,AR,67.95,-34.6132,-58.3772,few clouds,Hotel NH Buenos Aires City
1192,Presidente franco,PY,77.52,-25.5333,-54.6167,broken clouds,Hotel Dan Inn Express Foz do Iguaçu.
1196,Mogadishu,SO,74.93,2.0371,45.3438,overcast clouds,Hotel Juba
1207,Kathu,TH,87.62,7.9178,98.3332,overcast clouds,Novotel Phuket Resort
1213,Kribi,CM,77.59,2.95,9.9167,overcast clouds,La Grace Hôtel
1215,Bayamo,CU,70.25,20.3792,-76.6433,clear sky,Villa Luisa TCV
1216,Agadir,MA,63.05,30.4202,-9.5982,overcast clouds,Iberostar Founty Beach
1222,Puerto leguizamo,CO,73.81,-0.1934,-74.7819,broken clouds,la casona de juancho
1225,Maceio,BR,78.24,-9.6658,-35.7353,broken clouds,Poutur Pousada
1230,Mikumi,TZ,68.56,-7.4041,36.9831,overcast clouds,Morio Motel and Campsite
1233,Sao felix do xingu,BR,70.21,-6.6447,-51.995,light rain,Rio Xingu Camping
1234,Rayachoti,IN,69.26,14.05,78.75,broken clouds,Swetha lodge
1243,Horqueta,PY,72.25,-23.3428,-57.0597,overcast clouds,Hospedaje Heina
1246,Bubaque,GW,77.54,11.2833,-15.8333,few clouds,"Casa Dora, Bubaque"
1253,Rio grande,BR,69.94,-32.035,-52.0986,overcast clouds,Hotel Atlântico Rio Grande
1254,Makurdi,NG,73.33,7.7411,8.5121,clear sky,Doo Palace Hotel
1259,Sao joao do piaui,BR,72.19,-8.3581,-42.2467,overcast clouds,Nayra Palace Hotel
1266,Coruripe,BR,77.59,-10.1256,-36.1756,overcast clouds,Pousada e Hotel Litoral Sul
1271,Nkpor,NG,71.19,6.1516,6.8446,clear sky,First choice Hotel
1272,Maragogi,BR,77.52,-9.0122,-35.2225,broken clouds,Salinas do Maragogi All Inclusive Resort
1279,Tondi,IN,78.26,9.7333,79.0167,few clouds,Star Lodge
1282,Ampanihy,MG,65.88,-24.7,44.75,clear sky,Angora Hotel
1294,Iranduba,BR,77.29,-3.2847,-60.1861,light rain,Evolução Ecolodge
1303,Trairi,BR,74.5,-3.2778,-39.2689,overcast clouds,janelas do mar
1304,Edgewater,US,64.02,28.9889,-80.9023,mist,Islander Beach Resort
1306,Sao joao batista,BR,77.04,-27.2761,-48.8494,overcast clouds,INNOVARE SLIM SÃO JOÃO BATISTA
1336,Rodrigues alves,BR,73.26,-7.738,-72.6509,overcast clouds,Pousada Aconchego
1340,Weligama,LK,78.87,5.9667,80.4167,few clouds,Weligama Bay Resort
1348,Jibuti,DJ,65.86,11.5,42.5,overcast clouds,Orchid Main Camp Goubet
1352,Kulhudhuffushi,MV,79.29,6.6221,73.07,broken clouds,Haajy Guest House 1
1357,Kita,ML,72.55,13.0349,-9.4895,clear sky,Hôtel Chat Rouge
1384,Puerto gaitan,CO,84.42,4.3133,-72.0816,overcast clouds,Brisas del Yucao
1387,Maracas,BR,62.13,-13.4411,-40.4308,broken clouds,Pousada Vale Aprazível
1391,Dwarka,IN,65.41,22.2394,68.9678,clear sky,Hotel Narayan Avezika Comfort
1399,Nata,PA,77.47,8.3333,-80.5167,broken clouds,Rey David
1400,Bosaso,SO,70.43,11.2842,49.1816,overcast clouds,Red Sea Hotel
1417,Mazamari,PE,72.99,-11.3258,-74.5308,overcast clouds,Hospedaje Ratto
1418,Tambura,SS,68.04,5.6,27.4667,overcast clouds,Rikito Lodge
1435,Sassandra,CI,76.89,4.95,-6.0833,few clouds,la terrasse
1443,Humaita,BR,73.42,-7.5061,-63.0208,moderate rain,Corrêa Hotel
1447,Sinnamary,GF,75.65,5.3833,-52.95,broken clouds,ALETHEIA Appartement Sinnamary
1450,Male,MV,79.36,4.1748,73.5089,broken clouds,Hotel Octave Maldives
1452,Kollam,IN,80.47,8.8833,76.6,few clouds,Nani Hotels and Resorts
1455,Fougamou,GA,72.37,-1.2154,10.5838,broken clouds,Résidence d'Hôtes Bapedy
1464,Mananjary,MG,72.77,-21.2167,48.3333,scattered clouds,Vahiny Lodge
1469,Moron,AR,66.97,-34.6534,-58.6198,clear sky,Hotel Morón
1485,Boyuibe,BO,67.91,-20.4167,-63.2833,overcast clouds,Residencial Eluzai
1494,Ambovombe,MG,68.07,-25.1667,46.0833,clear sky,RELAHARA
1495,Ibadan,NG,71.17,7.3878,3.8964,few clouds,Majerita Hotel And Suites
1505,Omboue,GA,77.58,-1.5746,9.2618,overcast clouds,Hotel Olako
1508,Matara,LK,79.21,5.9485,80.5353,few clouds,Amaloh Boutique Resort
1518,Lamu,KE,75.42,-2.2717,40.902,scattered clouds,Lamu House
1524,High rock,BS,66.22,26.6208,-78.2833,clear sky,Hideaway Bahamas Beach Club
1526,Port shepstone,ZA,75.81,-30.7414,30.455,scattered clouds,My Den Beachfront Bed and Breakfast | Self-Catering
1527,Xique-xique,BR,74.16,-10.8218,-42.7263,overcast clouds,Hotel J. Macedo
1531,Cap malheureux,MU,78.48,-19.9842,57.6142,clear sky,Pereybere Hotel & Spa
1539,Luau,AO,63.55,-10.7073,22.2247,light rain,Casa- Bernardo Cândido
1549,Arroio grande,BR,67.32,-32.2375,-53.0869,overcast clouds,Motel Bela Vista
1551,Punta cardon,VE,77.0,11.6581,-70.215,clear sky,Bambuda hotel
1555,Nueve de julio,AR,61.72,-35.4444,-60.8831,clear sky,Grand Hotel Libertad - GHL
1571,Kinkala,CG,69.33,-4.3614,14.7644,broken clouds,Hotel la Pepeche Kinkala
1575,Gisenyi,RW,62.11,-1.7028,29.2564,overcast clouds,Palm garden Resort
1582,Port-gentil,GA,79.56,-0.7193,8.7815,overcast clouds,Fengshui Residence
1588,Cabedelo,BR,77.67,-6.9811,-34.8339,broken clouds,Hotel Pigalle
1592,Goma,CD,61.54,-1.6792,29.2228,overcast clouds,Hotel la Versailles Goma
1594,Kudahuvadhoo,MV,80.76,2.6708,72.8944,overcast clouds,Niyama Private Islands Maldives
1595,Sao gabriel da cachoeira,BR,72.34,-0.1303,-67.0892,overcast clouds,Alarne - Área De Lazer Do Alto Rio Negro
1597,Ambilobe,MG,73.15,-13.2,49.05,overcast clouds,Hôtel & Restaurant DIANA Ambilobe
1625,Vredendal,ZA,60.06,-31.6683,18.5012,clear sky,Tharrakamma Guest House
1637,Amboasary,MG,67.55,-25.0333,46.3833,clear sky,DISCOVERY AMBOASARY
1643,Muscat,OM,60.82,23.6139,58.5922,clear sky,Mutrah Hotel
1645,Nouakchott,MR,62.53,18.0858,-15.9785,overcast clouds,HOTEL IMAN
1654,Pitanga,BR,66.63,-24.7572,-51.7614,overcast clouds,Hotel Santa Carmem
1660,Progreso,MX,75.31,21.2833,-89.6667,few clouds,Playa Linda Hotel
1678,Franca,BR,64.56,-20.5386,-47.4008,overcast clouds,Imperador Palace Hotel
1681,Doume,CM,62.37,4.2333,13.45,overcast clouds,Hotel Universel
1688,Doha,QA,64.38,25.2867,51.5333,clear sky,Movenpick Hotel Doha
1690,Abu dhabi,AE,65.97,24.4667,54.3667,clear sky,Ramee Garden Hotel Apartments
1691,Porto novo,BJ,75.07,6.4965,2.6036,broken clouds,Tour Eiffel Hotel Benin
1699,Benguela,AO,78.31,-12.5763,13.4055,overcast clouds,Hotel Praia Morena
1700,Barauna,BR,74.17,-5.08,-37.6167,overcast clouds,Pousada Rancho do Sabiá
1715,Lagoa vermelha,BR,61.27,-28.2086,-51.5258,overcast clouds,Hotel Kaianã
1725,Tabou,CI,78.55,4.423,-7.3528,broken clouds,hotêl doufoulougou
1726,Pizarro,CO,76.53,4.9533,-77.366,overcast clouds,Hotel Limonar
1736,Mecca,SA,61.14,21.4267,39.8261,few clouds,"Makkah Clock Royal Tower, A Fairmont Hotel"
1744,Bonthe,SL,76.95,7.5264,-12.505,light rain,Bonthe Holiday Village
1745,Sechura,PE,72.03,-5.5569,-80.8222,broken clouds,Hospedaje Costa Bella
1753,Rio bueno,CL,66.34,-40.3167,-72.9667,clear sky,Hostal Caulle
1759,Bella union,UY,69.44,-30.2752,-57.6007,overcast clouds,Saville Free Shop
1762,Morant bay,JM,71.65,17.8815,-76.4093,clear sky,Whispering Bamboo Cove Resort
1770,San cristobal,VE,68.18,7.7669,-72.225,scattered clouds,Posada Villaven C.A.
